channel_id,title,handle,subscriber_count,total_view_count,total_video_count,subscriber_count_status,total_view_count_status,total_video_count_status,external_links_status,publication_finalized_status
UC2ZYROC5sk5QsvUyubIiRHw,Dra Priscilla Vicente - sem filtro,@priscillavicentedra,23500,1461098,340,estimated,exact,exact,unresolved,ready_auto
UCIJpLGYgo15BVlq17CJfc6g,No Divã com Taty Ades,@NoDiv%C3%A3comTatyAdes,119000,7437179,500,estimated,exact,exact,observed,ready_partial
UCv-3C3VWAblRZaZc37G4uqw,Bombeiro Civil,@BombeiroCivilProfissional,6610,1542082,49,estimated,exact,exact,observed,ready_partial
UCfJcQZOLfRGe_7NZtTO4xXw,Borderlar,@borderlar,2410,72395,20,estimated,exact,exact,observed,ready_partial
UCL7olxGDhccUP3D-etJFOWA,Camila Sakavicius - Emporium dos Cães,@emporiumdoscaesecia,3140,583333,462,estimated,exact,exact,observed,ready_partial
UCOifrSfZylTyk36JOoxkL_w,Danilo Carneiro,@Danilovcarneiro,24900,3474173,199,estimated,exact,exact,observed,ready_auto
UCmPGY0N_ASBr_2B66aAKtwA,Andreza Brasil e Italia.,@andrezabrasileitalia.2533,3620,288708,169,estimated,exact,exact,observed,ready_partial
UC_Vq6aeI3CtmPjJV8iM7XwA,Deysianne,@deysiannesantos507,1710,619017,229,estimated,exact,exact,observed,ready_partial
UCwoK370gI5iHLI_DmZQcFdw,Jhonny Salazar Olivera,@jhonnysalazarolivera9912,316000,85394038,20,estimated,exact,exact,observed,ready_partial
UCQWqlKQZaFerTJveo8hl-Uw,Tuzao,@Tuzao,2190,166637,224,estimated,exact,exact,observed,ready_partial
UCvMu68eXvj-grpFwY7mgK5A,Gabriel PLAY,@GabrielPlay7,196000,28324266,1084,estimated,exact,exact,observed,ready_auto
UCexDlQkmfAUzg__szcYcZNQ,Brigada Portuária,@BrigadaPortu%C3%A1ria,11000,663301,244,estimated,exact,exact,observed,ready_auto
UCJgwgm_6PuP6VIWFwU30h3w,Rock gamer,@rockgamer128,2530,638666,150,estimated,exact,exact,observed,ready_partial
UCmILhYhEWM-Nu973EneUbYQ,BOTO BC,@BotoBc,1420000,224589283,2343,estimated,exact,exact,observed,ready_auto
UC_0IKnBa_U0hLJ5SriL601Q,funny.,@apenasofunny,2000,1162682,15,estimated,exact,exact,observed,ready_partial
UCnr3rEOMwIa8nLyqzFXfZBw,O Bombeiro Sam,@obombeirosam2821,180000,67853632,85,estimated,exact,exact,observed,ready_partial
UCq7HoFUXL-t0Lp5HmuZ9YHg,Brother Brasil,@brotheratyoursidebr,42700,15664276,521,estimated,exact,exact,observed,ready_auto
UCNocOraV9FNxzK24bNAN3Dg,Programa Via da Moda,@programaviadamoda,20200,5239974,8401,estimated,exact,exact,observed,ready_partial
