channel_id,title,contents,likes_policy_zero,description_empty,subscriber_count,total_view_count,total_video_count,video_views,video_likes,video_comments,channel_issues,video_issues
UCfI4nNuPCV_qIjvHFOfwA1Q,Ligado na História em HQ,1,0,0,1530,69765,20,16,0,0,0,0
UCfej1BZifrCU0jsR3sAyoUQ,Queimei a Língua,30,0,23,154000,20867523,498,1155051,39580,413,0,0
UCfqxmx1LqTchW523dbuGkgA,TsukiUraya,7,0,0,1440000,95470453,193,716156,55154,2795,0,0
UCfwL8eL-1mRfV10a9aMNE3A,Nicoly lima,30,0,30,1440000,774505162,2005,568835,5989,641,0,0
UCfxw9X5zS53oicViU31I2mg,Narrador Gostosão,30,0,4,321000,29649559,819,83619,2905,222,0,0
UCg1NY0J7btoqaBureLv2g4g,entre3culturas,8,0,8,24600,2555568,310,29276,723,65,0,0
UCgHwO_-KO9lf8fppR7rOwDg,Malu Presotto,14,14,4,16800,3157597,1084,4909,0,0,0,0
UCgKZgUWujq2wkGgh8Q7mKiw,Gemeos Renato,26,0,0,1860,435984,438,9013,390,172,0,0
UCh1-Vv_fizBKtP3C5MbxKhg,Yssa,4,0,4,12700,1847956,110,3746,88,17,0,0
UCh1ZWtIBuyXqv2Q6HPXWrbw,Essa conta foi hackeada,30,18,30,58400,33619780,762,622401,22015,3591,0,0
UChc8s4TuQCaedQY-4YOILHg,Professor Albert,16,0,0,46000,2241979,88,3584,129,10,0,0
UChj9eOuBivMvuFp55uyCnnQ,AGULHÓ,29,0,28,671000,268115861,844,3111842,134802,824,0,0
UChly4JLxUacQ-LgT8yR2DgA,BREN0RJ,29,0,0,1090000,298519243,3652,53521,14995,87,0,0
UChsXToK8E4U8lqXaabPwlBw,Embarcados TV,19,0,0,13400,745213,1180,7128,536,17,0,0
UCi0tGkANOWosMzl5Ptw4fbw,Hobbies de Negócios,30,0,2,25900,19236632,5887,80195,1108,67,0,0
UCiPNrGHElx2892NnZUkVRTw,Luiz Oliveira Oficial,30,0,0,82700,18626148,2821,12390,114,10,0,0
UCiU14ibppIDwICbrxu8_yhw,Pedrozim,30,0,0,303000,72030752,397,739052,35161,851,0,0
UCiUPv5cFKeZuiJgkntsoOLQ,Brahma Kumaris Brasil,17,0,0,26000,2359572,718,13951,1676,57,0,0
UCi_i6xus0CM38FAsaHUc4UA,Thati_inventa,30,0,27,688000,243715717,864,2959977,114014,1730,0,0
UCiciruB9iiUmKT8C6qk8T4w,Mercado Bitcoin,30,0,0,242000,8188264,1264,16891,639,59,0,0
UCiocc4WoX8xE-7CalzqS2Xw,F L U S C O M A N I A,30,0,30,4340000,6607801768,7069,1472685,6025,49,0,0
